Name,scorecard id,4 Year Graduation rate,6 Year Graduation rate,8 Year Graduation rate,"Latitude, Longitude",City,State,alias,Gender Restricted,URL,NPC URL,Percent Male,Percent Female,HBCU,Student to Faculty Ratio,% American Indian and Alaska Native,% Native Hawaiian and Pacific Islander,% Asian,% Black,% White,% Unknown Race,% Hispanic,% Multiracial,% International,Faculty % American Indian and Alaska Native,Faculty % Native Hawaiian and Pacific Islander,Faculty % Asian,Faculty % Black,Faculty % White,Faculty % Unknown Race,Faculty % Hispanic,nonresident,Faculty % Multiracial,% Students in Legal,% Students in Health,% Students in English,% Students in History,% Students in Library,% Students in Computer,% Students in Language,% Students in Military,% Students in Education,% Students in Resources,% Students in Biological,% Students in Humanities,% Students in Psychology,% Students in Agriculture,% Students in Engineering,% Students in Mathematics,% Students in Architecture,% Students in Construction,% Students in Communication,% Students in Social Science,% Students in Transportation,% Students in Multidiscipline,% Students in Physical Science,% Students in Personal Culinary,% Students in Visual Performing,% Students in Business Marketing,% Students in Science Technology,% Students in Philosophy Religious,% Students in Precision Production,% Students in Engineering Technology,% Students in Ethnic Cultural Gender,% Students in Family Consumer Science,% Students in Parks Recreation Fitness,% Students in Security Law Enforcement,% Students in Communications Technology,% Students in Mechanic Repair Technology,% Students in Theology Religious Vocation,% Students in Public Administration Social Service,Undergraduate Enrollment,Graduate Enrollment,Total Enrollment,in state tuition,out of state tuition,Net Price,Room and Board,Student Earnings 10 Years after College,Religious Affiliation,Location Type,US News Ranking,US News Business Ranking,US News Computer Science Ranking,ACT Math 25th Percentile,ACT Math 50th Percentile,ACT Math 75th Percentile,ACT Verbal 25th Percentile,ACT Verbal 50th Percentile,ACT Verbal 75th Percentile,ACT Score 25th Percentile,ACT Score 50th Percentile,ACT Score 75th Percentile,SAT Math 25th Percentile,SAT Math 50th Percentile,SAT Math 75th Percentile,SAT Verbal 25th Percentile,SAT Verbal 50th Percentile,SAT Verbal 75th Percentile,SAT Equivalent Average Score,Top 3 Majors by Percentage,Top 5 Majors by Percentage,Best Colleges for Engineering,Best Colleges with No Application Fee,Top Public Universities,Hardest Colleges to Get Into,Best Small Colleges,Best College Dorms,Colleges with the Best Professors,Safest College Campuses,Colleges with the Best Academics,Most Diverse Colleges,Best College Food,Best Test Optional Colleges,Best Colleges,Best Colleges for Student Athletes,Best Value Colleges,Most Liberal Colleges,Best Colleges for Accounting and Finance,Best Colleges for Business,Best Colleges for Communications,Top Private Universities,Best College Athletics,Best Colleges that Accept the Common App,Top Party Schools,Colleges with the Best Student Life,Best Christian Colleges,Best Colleges for Music,Most Conservative Colleges,Best Colleges for Religious Studies,Best Colleges for Nursing,Best Colleges for Education,Best College Locations,Best Colleges for Psychology,Best Colleges for English,Best Colleges for Math,Best College Campuses,Best Colleges for Biology,Best Colleges for Information Technology,Best Colleges for Public Policy,Best Greek Life Colleges,Best Colleges for History,Best Catholic Colleges,Best Colleges for Kinesiology and Physical Therapy,Best Colleges for International Relations,Best Colleges for Computer Science,Best Colleges for Chemistry,Best Colleges for Physics,Best Colleges for Environmental Science,Best Colleges for Criminal Justice,Best Liberal Arts Colleges,Best Online Colleges,Best Colleges for Agricultural Sciences,Best Colleges for Public Health,Best Big Colleges,Best Colleges for Anthropology and Sociology,Best Colleges for Design,Best Colleges for Economics,Best Colleges for Political Science,Best Colleges for Sports Management,Best Colleges for Film and Photography,Best Colleges for Performing Arts,Best Colleges for Philosophy,Best Colleges for Art,Best Women's Colleges,Best Hispanic-Serving Institutions,Best Colleges for Architecture,Best Colleges for Global Studies,Best Colleges for Culinary Arts,Best HBCU Schools,Closest Major Airport Code,Drive Time to Airport,Distance to Airport (Miles by road),Total Minutes to Airport,Acceptance Rate,% Jewish,EA,ED,ED2,% Received Merit (Freshmen w/o need),Average Award (Freshmen w/o need),ED Deadline,ED2 Deadline,ED/ED2 Notification Dates,Source URL (may have more useful info),Common Data Set URL
Saint Ambrose University,154235,54.59%,64.43%,64.04%,"41.54065, -90.579854",Davenport,IA,St. Ambrose University   St Ambrose University,,www.sau.edu/,www.sau.edu/admissions-and-aid/financial-aid-resources/net-price-calculator,45.32%,54.68%,,12 to 1,0.18%,0.14%,2.75%,5.36%,72.61%,3.29%,9.73%,3.69%,2.25%,0%,0%,9.42%,1.05%,85.86%,0.52%,2.62%,0%,0.52%,0%,16.67%,1.85%,0.74%,0%,4.81%,0%,0%,6.85%,0%,3.70%,0%,11.48%,0%,6.30%,1.30%,0%,0%,2.04%,2.59%,0%,0%,0.19%,0%,2.04%,19.26%,0%,0.19%,0%,0%,0.56%,0%,12.59%,2.96%,0%,0%,0.19%,3.70%,2220,685,2905,33570,33570,24786,11638,57818,Roman Catholic,City: Midsize (250k > pop. > 100k),263,,,18,22,26,20,24,27,20,24,27,520,560,600,510,550,590,1147,Business Marketing: 19.26% | Health: 16.67% | Parks Recreation Fitness: 12.59%,Business Marketing: 19.26% | Health: 16.67% | Parks Recreation Fitness: 12.59% | Psychology: 11.48% | Education: 6.85%,,215,,676,324,91,,,,845,,627,665,622,399,,,492,,396,504,407,331,419,,,,,264,341,,373,,,414,,,,,,83,90,,,,,,,,,,,,,,,,214,,,,,,,,,,,MLI,18 mins,10.3 mi,18,0.7241,,,,,,,,,,,https://www.sau.edu/Documents/offices/Assessment/CDS-2020-21.pdf
Baker University,154688,49.45%,62.09%,64.10%,"38.778712, -95.187346",Baldwin City,KS,"Baker, BU, Baker U",,https://www.bakeru.edu/,https://www.bakeru.edu/fa-calculator/npcalc.htm,43.86%,56.14%,,12 to 1,1.16%,0.25%,1.74%,8.29%,65.51%,3.65%,11.28%,5.89%,2.24%,0%,0%,3.03%,3.03%,86.36%,3.03%,3.03%,0%,1.52%,0%,24.22%,0.85%,1.42%,0%,0.85%,0.57%,0%,6.84%,0%,2.85%,0%,4.56%,0%,0%,0%,0%,0%,3.42%,4.56%,0%,1.14%,1.99%,0%,0.85%,37.32%,0%,0.57%,0%,0%,0%,0%,7.98%,0%,0%,0%,0%,0%,1206,820,2026,31700,31700,24493,9330,60914,United Methodist,Town: Fringe,285,,,17,21,24,17,20,23,18,21,23,510,540,570,460,510,560,1064,Business Marketing: 37.32% | Health: 24.22% | Parks Recreation Fitness: 7.98%,Business Marketing: 37.32% | Health: 24.22% | Parks Recreation Fitness: 7.98% | Education: 6.84% | Psychology: 4.56%,,138,,,215,250,,,,720,,459,489,496,323,,,219,328,293,391,,,336,80,,,,82,,,,,,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCI,1 hour 4 mins,63.5 mi,64,0.9906,,,,,,,,,,,
Fort Hays State University,155061,29.38%,50.50%,45.80%,"38.872156, -99.342503",Hays,KS,FHSU,,www.fhsu.edu/,https://www.fhsu.edu/admissions/tuition/calculateexpenses,38.87%,61.13%,,15 to 1,0.33%,0.06%,1.03%,2.56%,49.90%,36.67%,7.25%,1.02%,1.20%,0.55%,0%,7.14%,2.47%,71.70%,8.24%,4.67%,1.65%,3.57%,0%,10.35%,0.30%,0.30%,0%,6.04%,0.27%,0%,8.33%,0%,1.69%,9.42%,4.41%,3.50%,0.21%,0.12%,0%,0%,2.69%,6.28%,0%,0.06%,0.72%,0%,0.88%,40.84%,0%,0.12%,0%,1.03%,0%,0%,0%,1.60%,0%,0%,0%,0.85%,11024,2700,13724,15870,15870,13515,8414,44617,,Town: Remote,,,,,,,,,,,,,,,,,,,,Business Marketing: 40.84% | Health: 10.35% | Humanities: 9.42%,Business Marketing: 40.84% | Health: 10.35% | Humanities: 9.42% | Education: 8.33% | Social Science: 6.28%,,,227,,,401,,562,643,766,,532,564,564,716,,312,547,348,,522,,138,274,,,,,,268,629,,,,438,,,,136,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,ICT,2 hours 47 mins,192 mi,167,0.9034,,,,,,,,,,,https://www.fhsu.edu/ieqi/documents/cds_2019-2020.pdf
Harvard University,166027,86.31%,96.74%,98.07%,"42.374471, -71.118313",Cambridge,MA,,,www.harvard.edu/,college.harvard.edu/financial-aid/net-price-calculator,49.19%,50.81%,,7 to 1,0.24%,0.15%,20.32%,8.88%,36.34%,3.01%,11.62%,7.22%,12.22%,0.09%,0.02%,12.66%,2.94%,52.86%,0.14%,4.24%,25.79%,1.26%,0%,0%,2.40%,7.34%,0%,8.95%,1.80%,0%,0%,1.13%,12.75%,2.20%,4.01%,0%,3.14%,11.08%,0%,0%,0%,31.51%,0%,3.27%,5.74%,0%,2.27%,0.33%,0%,1.47%,0%,0%,0.60%,0%,0%,0%,0%,0%,0%,0%,7938,21766,29704,"$82,178 ","$82,178 ",13259,18941,95114,,City: Midsize (250k > pop. > 100k),3,,12,32,34,35,35,36,36,33,35,36,750,775,800,730,755,780,1534,Social Science: 31.51% | Biological: 12.75% | Mathematics: 11.08%,Social Science: 31.51% | Biological: 12.75% | Mathematics: 11.08% | Computer: 8.95% | History: 7.34%,7,,,1,,106,10,575,3,23,353,2,3,16,6,,,,,3,232,2,199,29,,,,2,,,55,3,4,1,98,1,,,294,2,,,,7,2,4,8,,,,,,,1,,1,1,,,,1,1,,,,6,,,BOS,19 mins,8.9 mi,19,0.0401,9.90%,Y,,,0%,$0 ,,,,,https://oir.harvard.edu/files/huoir/files/harvard_cds_2021-2022.pdf
Newman University,155335,52.53%,63.35%,52.98%,"37.672643, -97.37768",Wichita,KS,,,www.newmanu.edu/,newmanu.edu/admissions/financial-aid/net-price-calculator,36.65%,63.35%,,13 to 1,1.97%,0.46%,5.55%,4.51%,66.82%,2.77%,8.67%,3.01%,6.24%,0%,0%,2.53%,2.53%,93.67%,0%,1.27%,0%,0%,0%,28.79%,0.61%,0.91%,0%,0.61%,0%,0.61%,14.85%,0%,13.64%,0%,2.42%,0%,0%,0.61%,0%,0%,2.73%,0.91%,0%,4.24%,1.52%,0%,1.82%,12.12%,0%,2.12%,0%,0%,0%,0%,0%,3.03%,0%,0%,6.36%,2.12%,865,463,1328,34460,34460,18117,9644,51255,Roman Catholic,City: Large (pop. > 250k),,,,16,21,26,15,20,24,17,21,25,,,,,,,1085,Health: 28.79% | Education: 14.85% | Biological: 13.64%,Health: 28.79% | Education: 14.85% | Biological: 13.64% | Business Marketing: 12.12% | Theology Religious Vocation: 6.36%,,,,,311,556,,304,,541,,600,636,665,552,,,,,384,632,,,731,,,,,240,264,523,,,,,333,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,ICT,9 mins,4.7 mi,9,0.7165,,,,,,,,,,,
University of Utah,230764,35.87%,67.20%,77.33%,"40.762484, -111.846044",Salt Lake City,UT,The U,,www.utah.edu/,financialaid.utah.edu/tuition-and-fees/cost-calculator.php,51.85%,48.15%,,18 to 1,0.41%,0.44%,6.39%,1.38%,64.34%,0.79%,14.30%,5.90%,6.03%,0.19%,0.12%,10.31%,1.04%,66.00%,7.60%,4.34%,9.03%,1.37%,0%,6.24%,2.08%,1.18%,0%,6.88%,1.40%,0%,1.18%,1.80%,3.62%,0.02%,6.53%,0%,8.59%,2.23%,0.53%,0%,6.18%,13.90%,0%,2.65%,3.02%,0%,6.68%,12.05%,0%,0.63%,0%,0%,1.01%,2.57%,6.66%,0%,0%,0%,0%,2.39%,24850,8638,33488,"$46,759 ","$25,186 ",12867,10662,64456,,City: Midsize (250k > pop. > 100k),105,39,46,21,25,29,21,26,31,22,26,30,590,645,700,590,640,690,1257,Social Science: 13.9% | Business Marketing: 12.05% | Engineering: 8.59%,Social Science: 13.9% | Business Marketing: 12.05% | Engineering: 8.59% | Computer: 6.88% | Visual Performing: 6.68%,91,,40,721,,,98,,151,286,368,115,124,74,158,,88,140,36,,55,,240,164,,,,,173,352,260,85,154,113,254,152,,74,282,146,,29,82,82,66,176,105,233,,,,51,40,65,95,141,206,95,56,107,152,151,,,,,,,SLC,22 mins,9.5 mi,22,0.9497,,Y,,,79%,"$7,835 ",,,,,https://www.obia.utah.edu/wp-content/uploads/sites/10/2023/07/CDS_2022-2023-Final.pdf
Pittsburg State University,155681,30.89%,52.34%,54.06%,"37.392071, -94.702473",Pittsburg,KS,Pitt State,,www.pittstate.edu/,office.pittstate.edu/financial-aid/npc/,50.05%,49.95%,,15 to 1,4.75%,0.23%,1.58%,5.03%,81.15%,0.19%,4.75%,1.00%,1.30%,1.12%,0%,7.49%,0.75%,83.90%,2.25%,1.50%,0%,3.00%,0%,12.36%,0.79%,0.53%,0%,2.21%,0.62%,0%,9.80%,0%,3.62%,4.94%,4.77%,0%,0%,0.18%,0%,0%,4.24%,1.77%,0%,0.44%,1.85%,0%,1.68%,20.74%,0%,0%,0%,14.83%,0%,1.32%,3.71%,1.77%,3.88%,1.77%,0%,2.21%,4292,1457,5749,19088,19088,14255,8196,47714,,Town: Distant,,,,16,20,24,16,20,24,17,21,24,,,,,,,1070,Business Marketing: 20.74% | Engineering Technology: 14.83% | Health: 12.36%,Business Marketing: 20.74% | Engineering Technology: 14.83% | Health: 12.36% | Education: 9.8% | Humanities: 4.94%,,,174,,,585,473,,556,,478,419,446,239,659,,341,,354,,118,,85,170,,,,,178,,735,,,,270,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JLN,36 mins,26.4 mi,36,0.9364,,,,,,,,,,,https://www.pittstate.edu/oie/_files/documents/institutional-research/cds_2018-2019.pdf
Washburn University,156082,27.25%,51.39%,41.43%,"39.033778, -95.702222",Topeka,KS,,,www.washburn.edu/,https://www3-prod.washburn.edu/net_price_calc/index.php,37.30%,62.70%,,13 to 1,0.68%,0.08%,1.81%,7.28%,65.24%,3.46%,12.73%,4.94%,3.79%,1.16%,0%,1.16%,2.70%,74.52%,6.95%,3.47%,8.11%,1.93%,1.64%,36.85%,1.12%,1.04%,0%,1.73%,0.43%,0%,3.55%,0%,1.82%,9.43%,4.33%,0%,0.26%,0.52%,0%,0%,4.41%,2.77%,0%,2.60%,1.12%,0%,1.47%,10.21%,0.09%,0.35%,0%,0.87%,0%,0%,3.20%,5.80%,0%,1.47%,0%,2.94%,3984,829,4813,19876,19876,14194,9838,47031,,City: Midsize (250k > pop. > 100k),,,,,,,,,,,,,,,,,,,,Health: 36.85% | Business Marketing: 10.21% | Humanities: 9.43%,Health: 36.85% | Business Marketing: 10.21% | Humanities: 9.43% | Security Law Enforcement: 5.8% | Communication: 4.41%,,,287,,,296,602,805,,881,457,,708,507,573,,339,,,,321,,,619,,,,,291,461,,,,,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCI,1 hour 12 mins,75.1 mi,72,,,,,,,,,,,,https://www.washburn.edu/about/facts/institutional-research/Files/Surveys-documents/Common-Data-Set-2022-2023.pdf
Bellarmine University,156286,57.57%,65.21%,66.42%,"38.219279, -85.704997",Louisville,KY,,,https://www.bellarmine.edu/,https://www.shoppingsheet.com/Shopping/Landing/bellarmine,36.88%,63.12%,,12 to 1,0.25%,0.13%,2.38%,6.75%,75.81%,1.32%,6.66%,5.35%,1.36%,0%,0%,3.35%,6.15%,86.03%,0%,1.68%,1.68%,1.12%,0%,29.92%,2.08%,1.44%,0%,1.12%,0.16%,0%,4.96%,1.92%,7.84%,1.44%,9.92%,0%,0.16%,1.28%,0%,0%,6.24%,4.48%,0%,0.32%,0.80%,0%,3.04%,13.12%,0%,0.48%,0%,0%,0%,0%,7.68%,1.44%,0%,0%,0.16%,0%,2356,742,3098,44920,44920,23443,9420,56346,Roman Catholic,City: Large (pop. > 250k),234,,,19,23,27,21,25,29,21,24,27,560,600,640,550,595,640,1191,Health: 29.92% | Business Marketing: 13.12% | Psychology: 9.92%,Health: 29.92% | Business Marketing: 13.12% | Psychology: 9.92% | Biological: 7.84% | Parks Recreation Fitness: 7.68%,,134,,,209,432,,239,,,,447,476,303,288,,330,443,290,288,114,316,,201,,,,,140,333,88,285,328,,197,427,,,,,56,104,,,,,,,,,,,,,,,237,,,,,,,,,,,,SDF,18 mins,7.8 mi,18,0.855,2.00%,Y,,,,,,,,,https://www.bellarmine.edu/docs/default-source/institutional-research-effectiveness-docs/cds_2022-2023-for-publication.pdf%3Fsfvrsn%3D42364480_4&sa=U&ved=2ahUKEwjZ6MKFjZKBAxUksIQIHXXYA20QFnoECAIQAg&usg=AOvVaw1THV9KaTkhCEIz6Rp6ZNvN
Berea College,156295,44.65%,65.58%,68.94%,"37.57202, -84.292893",Berea,KY,,,https://www.berea.edu/,https://berea.studentaidcalculator.com/survey.aspx,40.65%,59.35%,,9 to 1,0%,0.14%,3.71%,18.36%,46.56%,0.48%,14.24%,8.60%,7.91%,0.66%,0%,5.30%,9.27%,74.17%,0.66%,4.64%,3.31%,1.99%,0%,3.17%,3.17%,1.06%,0%,9.86%,1.41%,0%,4.23%,0%,7.39%,0%,7.04%,3.52%,0%,2.46%,0%,0%,5.63%,9.51%,0%,2.11%,3.87%,0%,8.45%,10.56%,0%,1.41%,0%,4.93%,1.76%,6.69%,1.76%,0%,0%,0%,0%,0%,1454,,,"$54,396 ","$54,396 ",3442,7484,40738,,Town: Distant,,,,20,23,26,22,26,29,23,26,28,563,596,628,555,598,640,1229,Business Marketing: 10.56% | Computer: 9.86% | Social Science: 9.51%,Business Marketing: 10.56% | Computer: 9.86% | Social Science: 9.51% | Visual Performing: 8.45% | Biological: 7.39%,,115,,103,188,,648,,233,282,,411,437,681,444,,,,217,267,,,,,,,,,,200,,438,155,230,,404,,,,238,,,124,278,195,,,,102,,,,,114,,,,,,122,,110,,,,82,,,LEX,53 mins,49.1 mi,53,0.3301,,,,,0%,$0 ,,,,,
Centre College,156408,85.03%,86.36%,84.08%,"37.645709, -84.779392",Danville,KY,"Centre, Centre College of Kentucky",,https://www.centre.edu/,https://centre.studentaidcalculator.com/survey.aspx,48.29%,51.71%,,9 to 1,0.23%,0.08%,4.49%,5.93%,72.62%,1.67%,7.38%,3.73%,3.88%,0%,0%,6.99%,3.50%,83.22%,2.10%,2.80%,0%,1.40%,0%,0%,5.60%,5.90%,0%,4.72%,2.95%,0%,0%,4.13%,12.39%,0%,14.16%,0%,0%,4.42%,0%,0%,0%,28.61%,0%,7.37%,5.01%,0%,2.36%,0%,0%,2.36%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1315,,,"$60,700 ","$60,700 ",20610,11600,60447,Presbyterian Church (USA),Town: Distant,,,,25,28,31,27,31,35,27,30,33,630,700,770,605,650,695,1381,Social Science: 28.61% | Psychology: 14.16% | Biological: 12.39%,Social Science: 28.61% | Psychology: 14.16% | Biological: 12.39% | Multidiscipline: 7.37% | History: 5.9%,,99,,469,161,,360,745,317,735,,366,390,556,203,,,,,241,,267,621,,61,,,,,,,221,243,156,,297,,,,162,,,102,,180,,,,85,,,,,202,,107,151,,,,,,,,,,,,LEX,47 mins,42.4 mi,47,0.6798,0%,Y,Y,,98%,"$32,217 ",15-Nov,,1-Jan,https://www.centre.edu/apply/,
University of Chicago,144050,90.62%,95.90%,95.15%,"41.787994, -87.599539",Chicago,IL,,,www.uchicago.edu/,https://collegeadmissions.uchicago.edu/costs/calculate,52.33%,47.67%,,5 to 1,0.01%,0.01%,19.89%,6.07%,33.53%,2.82%,14.92%,6.99%,15.76%,0%,0.02%,15.57%,3.41%,50.40%,5.62%,3.72%,19.74%,1.52%,0%,0.06%,3.51%,3.69%,0%,6.45%,3.38%,0%,0%,1.00%,9.89%,1.13%,4.70%,0%,1.50%,10.14%,0%,0%,0%,36.69%,0%,0.06%,7.51%,0%,2.69%,0%,0%,1.94%,0%,0%,0.50%,0%,0%,0%,0%,0%,0.25%,4.88%,7558,11196,18754,"$82,848 ","$82,848 ",22690,17685,78439,,City: Large (pop. > 250k),6,,24,31,33,35,34,35,36,33,34,35,770,785,800,740,760,780,1535,Social Science: 36.69% | Mathematics: 10.14% | Biological: 9.89%,Social Science: 36.69% | Mathematics: 10.14% | Biological: 9.89% | Physical Science: 7.51% | Computer: 6.45%,32,,,7,,49,8,,5,28,369,15,16,67,56,,,,,16,,15,578,194,,,,8,,,,14,7,7,190,17,,4,,7,,,32,20,4,7,16,,,,,,,11,,5,7,,8,12,7,,,,,13,,,MDW,29 mins,15.8 mi,29,0.0648,10.70%,Y,Y,Y,,,2-Nov,4-Jan,"Late December, late February",https://collegeadmissions.uchicago.edu/apply/first-year-applicants/first-year-application-plans,https://data.uchicago.edu/files/2022/10/UChicago_CDS_2021-22.pdf
Baylor University,223232,68.29%,81.62%,79.00%,"31.546872, -97.121041",Waco,TX,,,www.baylor.edu/,www.baylor.edu/sfs/netpricecalculator/npcalc.htm,39.82%,60.18%,,16 to 1,0.29%,0.15%,8.77%,5.05%,60.73%,0.72%,15.88%,4.99%,3.43%,0%,0.09%,6.13%,3.35%,80.11%,1.67%,5.20%,1.49%,1.95%,0%,17.77%,1.33%,0.97%,0%,1.09%,0.48%,0%,4.01%,1.18%,10.83%,0.27%,3.62%,0%,3.38%,0.87%,0%,0%,7.27%,6.30%,0.63%,2.81%,1.06%,0%,4.89%,23.59%,0.18%,0.97%,0%,0%,0.15%,2.11%,3.20%,0%,0%,0%,0.15%,0.90%,15102,5435,20537,"$69,177 ","$69,177 ",37248,13274,62913,Baptist,City: Midsize (250k > pop. > 100k),77,64,141,24,27,30,24,29,34,25,29,32,580,630,680,580,625,670,1288,Business Marketing: 23.59% | Health: 17.77% | Biological: 10.83%,Business Marketing: 23.59% | Health: 17.77% | Biological: 10.83% | Communication: 7.27% | Social Science: 6.3%,132,24,,387,,333,192,,144,597,393,161,172,36,664,,39,121,79,106,16,,564,134,8,68,60,179,91,111,,403,,160,194,94,,86,,167,,119,108,228,220,,126,,,,,106,,261,85,,189,,,155,,264,,,,,,,FTW,1 hour 31 mins,94.4 mi,91,0.5669,0%,Y,,,90%,"$19,148 ",,,,,
Murray State University,157401,37.35%,55.87%,57.51%,"36.612419, -88.323629",Murray,KY,,,www.murraystate.edu/,https://murraystate.studentaidcalculator.com/survey.aspx,38.21%,61.79%,,16 to 1,0.19%,0.07%,0.90%,5.86%,77.88%,4.06%,2.46%,2.92%,5.65%,0.45%,0%,6.04%,3.13%,80.54%,0.22%,1.34%,6.26%,2.01%,0%,11.62%,1.73%,1.24%,0%,3.65%,0.93%,0%,8.84%,1.24%,3.40%,7.11%,2.10%,14.77%,1.79%,0.49%,0%,0%,5.01%,2.10%,0.06%,0%,1.48%,0%,4.57%,12.67%,0%,0%,0%,7.91%,0%,0%,1.79%,1.61%,0.43%,0%,0%,3.46%,6744,1763,8507,18528,18528,11226,9868,43077,,Town: Remote,,,,18,22,26,20,24,28,20,24,27,470,530,590,490,550,610,1156,Agriculture: 14.77% | Business Marketing: 12.67% | Health: 11.62%,Agriculture: 14.77% | Business Marketing: 12.67% | Health: 11.62% | Education: 8.84% | Engineering Technology: 7.91%,,,197,735,,,442,769,477,771,495,460,490,284,779,,338,,335,,216,,402,389,,,,,,407,,,,,561,,84,254,280,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BNA,2 hours 4 mins,127 mi,124,0.8516,0%,,,,,,,,,,https://www.murraystate.edu/about/administration/Provost/institutional-effectiveness/OfficeOfInstitutionalResearch/docs/CDS_2021-2022.pdf
Transylvania University,157818,70.13%,73.38%,69.90%,"38.052983, -84.493202",Lexington,KY,,,https://www.transy.edu/,https://tcc.ruffalonl.com/Transylvania University/Freshmen Students,41.34%,58.66%,,10 to 1,0.41%,0%,3.30%,5.05%,78.97%,2.27%,4.64%,5.36%,0%,0%,0%,3.45%,1.15%,93.10%,0%,2.30%,0%,0%,0%,0%,3.86%,3.86%,0%,1.45%,1.45%,0%,1.93%,0%,15.94%,0.48%,10.14%,0%,0%,3.38%,0%,0%,5.80%,13.53%,0%,1.93%,2.90%,0%,0.97%,18.84%,0%,1.45%,0%,0%,0%,0%,12.08%,0%,0%,0%,0%,0%,970,,,42520,42520,24489,12200,54373,Christian Church (Disciples of Christ),City: Large (pop. > 250k),,,,22,26,29,23,28,32,23,27,30,520,590,660,530,600,670,1250,Business Marketing: 18.84% | Biological: 15.94% | Social Science: 13.53%,Business Marketing: 18.84% | Biological: 15.94% | Social Science: 13.53% | Parks Recreation Fitness: 12.08% | Psychology: 10.14%,,140,,,217,460,566,,537,,,463,493,713,266,,205,421,299,295,,325,459,720,81,,,,,350,347,263,,215,569,239,,,,,,,,,,,,,107,,,,,,,,,,,,,,,,,,,,LEX,17 mins,7.6 mi,17,0.9197,1.10%,Y,,,,,,,,,
Centenary College of Louisiana,158477,52.23%,56.69%,59.06%,"32.483335, -93.730834",Shreveport,LA,,,www.centenary.edu/,https://www.centenary.edu/admission/tuition-aid/net-price-calculator/,42.22%,57.78%,,8 to 1,1.56%,0%,2.72%,15.76%,62.26%,0.78%,10.31%,5.64%,0.97%,1.85%,0%,3.70%,3.70%,87.04%,0%,0%,3.70%,0%,0%,0%,5.38%,3.08%,0%,0%,2.31%,0%,0%,0%,33.08%,0%,6.15%,0%,0%,0.77%,0%,0%,5.38%,6.15%,0%,1.54%,3.85%,0%,7.69%,23.85%,0%,0.77%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,514,19,533,38060,38060,29008,13940,49077,United Methodist,City: Midsize (250k > pop. > 100k),,,,20,24,27,20,26,31,21,25,29,510,560,610,510,575,640,1197,Biological: 33.08% | Business Marketing: 23.85% | Visual Performing: 7.69%,Biological: 33.08% | Business Marketing: 23.85% | Visual Performing: 7.69% | Psychology: 6.15% | Social Science: 6.15%,,231,,373,347,,526,,502,648,,662,700,700,,,,,,417,,424,,,128,,,,,,,,,,,251,,,,192,,,,,,,,,146,,,,,,,,296,,,,,,,,,,,,MLU,1 hour 41 mins,106 mi,101,0.6313,,Y,,,,,,,,,
Louisiana Tech University,159647,39.21%,58.87%,60.31%,"32.528297, -92.649963",Ruston,LA,"LA Tech, Louisiana Tech, Tech",,https://www.latech.edu/,https://www.latech.edu/current-students/financial-aid/resources/net-price-calculator/#content,55.84%,44.16%,,20 to 1,0.39%,0.09%,1.36%,10.93%,72.19%,5.31%,4.64%,3.26%,1.84%,0%,0%,3.34%,3.60%,81.23%,0%,1.80%,9.77%,0.26%,0%,14.52%,1.06%,0.93%,0%,3.99%,0.19%,0%,3.30%,2.12%,7.60%,0.31%,3.86%,3.05%,14.39%,0.62%,2.31%,0%,2.43%,4.61%,1.74%,4.17%,1.68%,0%,1.87%,17.13%,0%,0%,0%,3.12%,0%,3.55%,1.43%,0%,0%,0%,0%,0%,7785,984,8769,16806,16806,12065,9210,50632,,Town: Distant,317,,215,21,24,27,22,26,29,22,25,27,540,595,650,530,580,630,1203,Business Marketing: 17.13% | Health: 14.52% | Engineering: 14.39%,Business Marketing: 17.13% | Health: 14.52% | Engineering: 14.39% | Biological: 7.6% | Social Science: 4.61%,133,,85,361,,,235,350,202,,265,,224,141,553,,148,160,,,124,,369,250,,,89,,,,,454,,,521,282,,,286,,,271,,186,178,,,,,,56,,,,,,,,,,,,,,,,,,MLU,42 mins,38.6 mi,42,0.6583,,,,,,,,,,,
